,S.P.500,FTSE.100,Nikkei.225,DAX,Russel.2000,All.Ordinaries,DJIA,Nasdaq.100,CAC.40,Hang.Seng,S.P.500,FTSE.100,Nikkei.225,DAX,Russel.2000,All.Ordinaries,DJIA,Nasdaq.100,CAC.40,Hang.Seng,S.P.500,FTSE.100,Nikkei.225,DAX,Russel.2000,All.Ordinaries,DJIA,Nasdaq.100,CAC.40,Hang.Seng
S.P.500,0.2,0,0,0,0,0.1,0,0.35,0,0,0.24,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,-0.21,0,0
FTSE.100,0,0.1,0,0,0,-0.1,0,0.21,0,0,0,0.51,0,0,0,0,0,-0.2,0,0,0,0.11,0,0,0,0,0,0,0,0
Nikkei.225,0,0,0.41,0,0,0,0.08,0.16,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.25,0,-0.1,0,0,0,0,0
DAX,0.1,0,0,0.19,0,0,0,0.23,0,0,0,0,0,0.52,0,0,0,-0.18,0,0,0,0,0,0.15,0,0,0,0,0,0
Russel.2000,0,0,0,0,0.27,0,0,0.23,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0.3,0,0,-0.1,0,0
All.Ordinaries,0,0,0,0,0,0.1,0.14,0,0,0.05,-0.4,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0
DJIA,0,0,0.1,0.1,0,0.08,0.13,0.36,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0.27,-0.16,0,0
Nasdaq.100,0,0,0,0,0,0,0,0.53,0,0.07,0,0,0,0,0,0,0,0.22,0,0,0.1,0,0,0,0,0,0,0.05,0,0
CAC.40,0.1,0,0,0,0,0,0,0.16,0.1,0,0,0,0,-0.2,0,0,0,-0.17,0.51,0,0,0,0,0,0,0,0,0,0.1,0
Hang.Seng,0,0,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0.43,0,0,0,-0.2,0,0,0,0,0,0.1
